car,move
T,-1
G,-2
T,-2
K,-3
S,-3
T,2
G,1
T,-3
K,-1
S,-1
Q,-2
T,-1
S,1
T,1
Q,1
T,-2
T,4
Q,1
G,1
Q,-2
T,-2
U,-2
L,2
T,-1
M,-3
T,2
L,-2
K,1
Q,1
U,1
Q,1
E,1
Q,-1
A,2
V,-1
A,-2
Q,1
U,5
T,-3
K,-1
U,-2
E,-1
U,-4
U,3
S,-1
U,1
J,-1
G,-2
V,-1
V,-1
U,-1
G,2
V,1
R,-1
U,3
G,-2
V,-1
S,1
Q,-1
G,2
K,1
Q,-1
T,1
R,-2
T,-1
N,1
U,-3
U,-1
G,-2
U,2
V,1
X,-1
U,-3
G,2
T,1
U,2
X,-1
N,1
H,1
U,-1
H,1
F,3
U,1
I,-1
N,-1
U,2
U,-3
U,-2
F,-2
N,1
F,1
F,1
U,1
F,-1
F,-2
K,-1
E,1
C,1
S,-1
A,1
C,-1
P,-2
F,2
W,-2
A,1
F,-2
T,-2
U,2
U,-3
T,2
S,1
A,-2
F,1
U,1
T,-1
W,1
K,1
E,-1
F,-1
C,1
W,1
N,-1
W,-2
W,1
U,5
G,-3
W,1
E,1
W,-1
U,-2
I,-1
A,1
U,1
U,1
P,1
W,1
O,1
U,-1
I,-1
U,1
C,-1
K,-1
O,-1
C,2
U,-2
U,-1
P,-1
U,3
U,-1
D,-1
P,2
P,-3
U,-2
G,-1
O,1
H,2
X,2
H,-1
X,-1
U,-1
U,-1
J,1
H,1
N,1
G,1
S,-1
X,2
