car,move
K,1
W,-1
Y,-1
G,1
C,-1
J,1
H,3
M,-1
N,-2
T,-1
O,-2
J,-1
K,1
L,-1
V,-2
S,1
T,1
U,1
K,3
S,-1
V,1
X,1
W,-1
Q,1
O,-1
P,-3
V,1
X,6
