car,move
F,-2
F,-1
F,-1
E,-1
B,3
F,1
X,-1
F,1
F,-2
X,-2
A,-2
B,-1
A,2
B,-1
A,-1
G,-1
H,-3
G,1
A,-1
G,-3
E,3
E,1
D,-1
H,3
E,-2
C,2
E,1
H,-1
B,2
C,-1
C,2
X,1
F,4
A,-1
F,-3
C,-3
A,1
F,3
A,-1
F,-1
E,1
X,-1
B,-2
E,-1
A,1
B,2
H,1
X,1
F,1
F,-4
F,2
D,1
G,1
A,-1
A,3
H,-1
A,-1
F,-1
E,1
A,-2
F,3
E,-1
X,-1
A,3
B,-1
E,1
A,-3
H,-1
H,-1
B,-1
G,2
B,-1
G,-3
H,3
D,-4
G,3
B,3
C,1
G,-1
A,2
A,2
B,-2
G,-2
B,-1
E,-2
G,1
H,-2
H,1
C,2
D,1
G,-1
D,2
B,1
F,-1
C,-2
E,2
H,1
F,1
B,2
X,1
E,-1
F,-4
C,1
X,-1
B,-2
E,-1
H,-1
E,1
B,1
H,-1
B,-1
C,1
B,-1
H,-2
H,3
C,-1
D,-2
D,-1
H,-1
C,-1
E,-3
H,2
D,1
H,-4
H,2
G,1
G,1
C,1
H,-2
C,1
C,-2
G,1
D,-1
C,1
B,2
G,-1
B,-1
B,2
G,-1
A,-1
A,-1
A,-1
C,-1
B,-2
B,1
G,-1
H,2
H,2
H,-3
G,3
H,-1
C,2
B,1
C,-2
X,2
X,-1
C,1
X,2
B,-2
A,1
C,-2
H,1
C,3
E,1
F,1
C,-2
C,1
A,-2
A,4
A,-1
B,-1
C,1
C,-2
F,-1
D,1
E,-1
F,2
C,2
A,1
E,1
F,2
X,1
