car,move
A,-1
B,-1
C,-1
G,-1
L,-1
B,1
A,1
J,-1
A,-1
B,-1
I,1
B,1
A,1
I,1
A,-1
B,-1
H,1
E,1
D,-1
L,1
B,1
L,-1
A,1
D,1
A,-1
G,-1
X,1
D,-1
X,-1
L,-1
D,1
E,-1
H,-1
I,-2
J,1
L,1
X,1
J,-1
I,1
I,1
H,1
X,-1
H,-1
I,-2
I,1
L,-1
J,-2
I,-1
J,1
I,1
I,1
H,1
E,1
D,-1
J,-1
E,2
H,-1
I,-3
H,1
E,-1
E,-1
J,3
E,2
L,2
X,3
H,-2
G,1
B,-1
I,-1
X,1
