car,move
AF,-1
P,2
P,-1
AL,-1
AA,-1
AH,2
AB,-1
AI,-3
AC,-2
AI,2
AE,-1
AE,2
AI,-1
W,1
L,1
AK,-1
AJ,-1
AI,1
G,-1
N,-1
AA,-1
U,-1
AG,1
AI,-2
AA,1
H,1
K,1
W,2
AA,-4
P,1
AC,1
AK,1
AE,-1
Y,-1
AE,-1
P,-2
AF,1
S,1
AC,-1
AF,-1
K,-1
AF,1
O,1
U,4
D,1
AC,1
AP,-1
AO,1
P,2
L,-1
N,3
AG,-1
G,1
Q,1
J,1
M,1
AC,1
AG,1
AB,1
Q,-1
U,-1
A,-6
S,-1
AA,-1
A,3
B,-2
AA,1
J,-1
AO,-1
A,-3
B,-2
B,1
L,1
U,2
A,2
A,-1
D,-1
M,-1
U,-2
AO,1
N,-1
B,3
N,-1
S,1
G,-1
Q,1
P,-2
U,2
N,2
B,-3
F,2
AO,-1
AB,-1
E,1
Q,-2
AP,1
P,1
B,3
N,1
L,-1
AB,1
AJ,1
S,-1
B,-1
J,-1
P,-1
F,-1
N,-1
P,2
P,-1
B,-1
L,1
J,1
N,2
Q,1
N,-2
L,-1
J,-1
S,1
N,1
J,3
N,1
N,-3
AA,-1
U,-2
J,-2
D,1
B,2
N,1
Q,-1
AA,1
B,-3
L,1
M,1
P,-1
L,-1
J,-1
M,-1
D,-1
U,1
J,4
N,-2
B,1
Q,2
N,3
C,1
L,1
N,-2
P,1
AB,-1
P,-1
A,-2
B,-1
AC,-2
B,2
Q,-1
N,-1
AC,2
B,-2
K,1
U,1
A,2
N,2
F,1
I,-1
A,-1
AG,-1
AA,1
U,-2
AA,-1
E,1
R,-2
AC,-1
C,-1
R,1
P,1
B,1
AA,1
AQ,-1
AC,-2
Q,1
H,2
AA,3
N,-1
A,1
F,3
O,-1
B,-1
AQ,-1
G,2
AF,-1
AG,-1
K,-1
AB,1
K,1
F,-1
AB,1
AB,-2
AC,1
G,-2
R,-1
G,2
K,-1
Q,-1
R,2
G,-1
R,-3
K,1
H,-1
S,-1
Q,-1
U,1
U,1
N,1
AA,-2
R,1
G,1
AG,-1
X,-1
AQ,2
AC,1
G,1
A,1
S,1
AC,-2
AC,3
AA,1
X,1
S,-1
AJ,-1
X,-2
AP,-3
AA,2
H,1
X,1
AJ,1
B,1
M,-1
Q,1
AO,1
Q,-1
AG,1
U,-1
R,-1
A,-1
T,-2
T,1
G,-1
A,1
R,1
S,2
Q,2
T,-1
G,-1
A,-1
K,-1
C,1
H,-1
A,-1
C,1
K,1
U,1
C,-1
AG,-1
A,2
H,1
AA,-3
AA,1
S,-1
AO,-1
F,1
AG,1
N,2
X,1
T,2
A,-3
X,-1
G,2
A,3
AA,-4
T,-1
S,1
T,-1
AJ,-1
C,-1
X,2
AA,5
AP,2
G,2
B,-1
G,-1
AG,1
B,1
AC,-3
S,1
G,-3
Q,-1
AB,1
AF,1
P,-1
F,-1
S,-2
N,-1
F,1
G,1
X,-1
X,2
AQ,-2
G,1
X,1
T,2
K,-1
AE,1
G,-1
M,1
P,1
R,1
AO,1
A,-2
R,-1
AB,-1
L,-1
C,1
AE,-1
N,1
A,2
J,-1
AA,-1
AO,-1
AP,1
A,-2
G,-2
M,1
S,-1
AA,1
M,-1
F,-1
G,2
AJ,1
G,-2
C,-1
AQ,2
M,-1
M,2
AG,1
AC,2
H,-1
N,-1
U,-1
A,1
P,-1
J,-2
E,1
R,1
AA,1
R,-2
AA,1
R,1
M,-1
AA,2
P,2
R,-1
P,-1
U,1
J,3
J,-2
X,1
J,1
J,-3
AC,-1
AA,-1
R,1
N,-1
AE,1
AA,-2
J,4
A,-1
AK,-1
S,1
C,1
J,-1
AC,1
AA,2
X,1
J,-2
R,1
AC,-2
L,1
AA,1
A,-1
AE,-1
AB,1
N,-1
R,1
N,1
X,2
AG,-1
AE,1
X,-1
AQ,-1
N,-1
B,-1
AF,-1
R,-1
N,1
AN,-1
A,2
B,1
P,1
R,-1
R,2
AK,1
A,-1
E,-2
Q,1
AD,1
K,1
X,-1
G,3
A,2
Y,1
X,3
