car,move
E,1
M,2
E,-1
A,1
B,1
S,-2
S,-3
K,-1
T,-1
E,1
S,1
A,-2
E,-1
M,-2
F,-1
S,-2
T,1
E,1
I,-1
E,2
E,-1
S,2
T,-1
U,-1
I,1
E,-1
U,1
K,1
J,-1
B,1
M,2
K,-2
B,-1
E,-1
K,2
S,-3
S,6
M,-1
S,-3
K,-2
U,-1
K,1
S,-2
O,-1
G,-1
O,1
U,1
J,1
T,1
G,-2
S,-1
D,1
M,-1
S,1
D,1
C,-1
M,2
T,-1
C,1
U,-1
P,1
K,2
D,3
C,-1
G,2
H,-1
J,-1
H,1
C,1
J,1
D,-1
G,1
S,-1
E,1
B,1
S,1
D,1
S,1
S,4
J,-1
S,-2
S,-4
G,-1
O,-1
S,1
B,-1
I,-1
O,1
J,1
I,1
B,1
F,1
A,6
A,-5
G,1
A,1
S,4
S,1
A,3
A,1
A,-5
A,2
B,-1
G,-1
E,-1
A,-2
A,1
B,-1
D,-1
A,1
E,1
I,-2
A,-2
I,1
B,1
D,1
A,4
S,-1
A,-1
D,-1
A,-4
A,5
F,-1
E,1
B,-1
G,1
I,-1
S,-4
D,1
S,5
A,-1
A,2
S,-1
S,-3
S,-1
E,-1
G,-1
X,-1
G,1
E,2
N,-3
A,-2
N,-1
N,-1
A,1
E,-1
S,3
S,1
C,-2
D,-1
S,-2
E,-1
D,1
L,1
H,-2
H,1
Q,-2
E,1
S,1
R,-1
S,2
G,-1
A,-1
Q,1
A,2
D,-1
H,1
C,2
O,1
D,1
A,-1
L,1
S,-2
X,1
D,-1
X,-1
S,1
Q,-1
S,-1
G,1
C,-1
S,-3
S,1
S,3
S,-2
C,-1
H,-1
A,1
L,-1
H,1
C,2
S,1
A,-2
J,1
E,1
S,1
C,-1
H,-1
D,1
X,7
