car,move
K,1
W,-1
Y,-1
G,1
C,-1
J,1
H,3
M,-1
J,-1
N,-2
Q,1
O,-3
K,1
L,-1
U,1
V,-2
S,1
K,3
P,-3
S,-1
V,2
X,7
