car,move
K,-3
S,-3
T,-6
J,-1
Q,-2
U,-2
L,2
M,-3
L,-2
G,-3
E,1
A,1
K,-1
V,-2
R,-3
N,2
S,-1
U,1
X,-2
H,2
I,-3
C,2
D,-1
P,-3
O,1
H,2
X,3
