car,move
J,1
K,1
J,-1
V,-1
V,2
M,1
V,-1
W,-1
Q,1
Y,-1
Q,-1
M,-1
J,1
H,3
G,1
C,-1
J,-1
U,1
T,-1
N,-1
Y,1
V,1
V,-2
M,-1
N,1
W,1
M,1
N,-1
O,-1
K,1
N,-1
U,1
M,-1
U,-2
L,-1
J,1
O,-1
V,-1
S,1
U,2
J,1
X,1
J,-2
Z,-1
X,2
X,-3
W,-1
Y,-1
K,3
S,-1
T,1
X,6
W,-1
Y,2
X,-5
Z,-1
U,-1
Y,-2
V,3
V,-2
Z,2
Q,1
O,-1
P,-3
V,1
X,6
